timestamp,pic index,text,frame_path
2024-01-24-03:36:33,,Image size: 8.0MB Timestamp: 006:4865 (2024-01-24-03:36:33 UTC) GPS Tne 0. 976-0 Chane | Mo GP postion | ‘Gomerdun it 28 es: | ‘Concet image T7200) ta? | A Keseme 12eT | Slater 79 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0000.jpg
2024-01-24-03:36:34,,Image size: 8.0MB Timestamp: 007:4947 (2024-01-24-03:36:34 UTC) GPS Tne 0. 976-0 Chane | No GP postion | ‘Gomerdion it 28 fos: | ‘Cncet image T2007 ta? | a Kee 12eeT =| Slater 79 Gan’): Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0066.jpg
2024-01-24-03:36:36,,Image size: 7.7MB Timestamp: 009:5110 (2024-01-24-03:36:36 UTC) GBS Tne 0. 976-0 Candee | No GP postion | ‘Gomerdon ite O08 es: | ‘Cancet image 72027 tae? | UR Kee 128eT | Slentes 76 Gan’: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0087.jpg
2024-01-24-03:36:37,,Image size: 7.7MB Timestamp: 010:5192 (2024-01-24-03:36:37 UTC) GPS Tne 0. 976-0 Chane | No GP postion | ‘Gomwerdon ite O08 ies: | ‘Cancet image 7903s ta? | A Keene Of 12eeT | Slates 78 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0093.jpg
2024-01-24-03:36:38,,Image size: 7.7MB Timestamp: 011:5274 (2024-01-24-03:36:38 UTC) GES Tne 0: 976-0 Candee | Mo GP postion | ‘Gomerdon ite O0 fos: | ‘Concet Image T2047 ta? | A Kee Of 12ee7 | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0102.jpg
2024-01-24-03:36:39,,Image size: 7.6MB Timestamp: 012:5356 (2024-01-24-03:36:39 UTC) GPS Tne 0. 976-0 Chane | No GP postion | ‘Gomerdan ime O0 fos: | ‘Concet image 7206-7 Ta? | A Kee Of 12ee7 | Slater 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0108.jpg
2024-01-24-03:36:40,,Image size: 7.6MB Timestamp: 013:5437 (2024-01-24-03:36:40 UTC) GPS Tne 0.9760. Candee | Mo GP postion | ‘Gomwerdcon e000 fos: | ‘Cancet image 7206 7 ta? | UA Kee Of 128eT | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0117.jpg
2024-01-24-03:36:41,,Image size: 7.7MB Timestamp: 014:5520 (2024-01-24-03:36:41 UTC) GBS Tne 0: 976-0 Clenies' | No GPt postion | ‘Gomerdan imeO0 fos: | ‘Cancet image 79077 Tae? | A Kee  12eeT | Slater 76 Gan'D: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0123.jpg
2024-01-24-03:36:42,,Image size: 7.7MB Timestamp: 015:5601 (2024-01-24-03:36:42 UTC) GBS Tene 0.9760. Chandes' | No GPt postion | ‘Gomwersion e008 fos: | ‘Cancet image 7208 f ae? | UA Kee Of 12807 | Slates 76 Gan'D: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0132.jpg
2024-01-24-03:36:44,,Image size: 7.7MB Timestamp: 017:5765 (2024-01-24-03:36:44 UTC) GES Tne 0. 976-0 Chane | Mo GP postion | ‘Gomerdon itaeO0 fos: | ‘Cancet image 7200 7 ta? | A Kee Of 128e7 | Slater 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0144.jpg
2024-01-24-03:36:45,,Image size: 7.7MB Timestamp: 018:5847 (2024-01-24-03:36:45 UTC) GES Wane 0.9760 Chane | No GPt postion | ‘Gomwerdion ie O0) fos: | ‘Correat image 7200 f ta? | UR Kee Of 128eT | Slates 76 Gan'D: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0153.jpg
2024-01-24-03:36:46,,Image size: 7.8MB Timestamp: 019:5928 (2024-01-24-03:36:46 UTC) GES Tne 0. 976-0 Candee | No GPt postion | ‘Gomwerdon ie O0 fos: | ‘Correet image 7202) ta? | OU Kemet Of 128e7 | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0159.jpg
2024-01-24-03:36:47,,Image size: 8.1MB Timestamp: 020:6011 (2024-01-24-03:36:47 UTC) GBS Tne 0: 976-0 Chane | No GP postion | ‘Gomwerdon ie O0) fos: | ‘Canrcet image: 780s ta? | A Kee 12eeT | Sletes 76 Gand: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0165.jpg
2024-01-24-03:36:48,,Image size: 8.1MB Timestamp: 021:6092 (2024-01-24-03:36:48 UTC) GBS Tne 0: 976-0 Chane | Mo GPt postion | ‘Gomwerdon ae O0) fos: | ‘Cirreet image: 72047 ta? | A Kee Of 128eT | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0174.jpg
2024-01-24-03:36:50,,Image size: 7.9MB Timestamp: 023:6256 (2024-01-24-03:36:50 UTC) GPS Tne 0.9760 Chenee' 3 | No GP postion | ‘Gomwerdon e000 fos: | ‘Carcet image: 72067 Ea? | UN Kee 12ee7 | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0189.jpg
,,UTC) GBS Tne 0. 976-0 Candee | No GPt postion | ‘Gomwerdion e080) fos: | ‘Corveet image: 7206 f tao? | OU Keene 12807 | Slentes 76 Gand: Gane 100)23:6256 (2024-01-24-03::,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0192.jpg
2024-01-24-03:37:00,,Image size: 8.2MB Timestamp: 033:7074 (2024-01-24-03:37:00 UTC) GPS Tne 0.9760 Clans | No GP postion | ‘Gomerdon eO0 fos: | ‘Cancet image 72167 Ea | UA Kee ee | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0261.jpg
2024-01-24-03:37:02,,Image size: 8.9MB Timestamp: 035:7238 (2024-01-24-03:37:02 UTC) GES Tne 0.9760 Chane | No GP postion | ‘Gomersion ae Ol fes: | ‘Carreet image: 7218 f tae? | A Kee Of 12eeT | Slates 78 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0276.jpg
2024-01-24-03:37:03,,Image size: 9.0MB Timestamp: 036:7320 (2024-01-24-03:37:03 UTC) GBS Tne 0: 976-0 Canes | No GP postion | ‘Gomwerdion e080) fos: | ‘Conrcet image: 7219 7 ta? | UA Kee 12eeT | Sleter 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0285.jpg
2024-01-24-03:37:04,,Image size: 9.0MB Timestamp: 037:7401 (2024-01-24-03:37:04 UTC) GBS Tne 0.99760 Candee | No GP postion | ‘Gomwercon e080) fos: | ‘Careet Image: 7270 7 ta? | A Kee 12ee7 | Slates 76 Gand: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0291.jpg
2024-01-24-03:37:05,,Image size: 9.2MB Timestamp: 038:7484 (2024-01-24-03:37:05 UTC) GES Tne 0.99760 Chane | Mo GP postion | ‘Gomwerdien ie 29 fos: | ‘Corveat Image: 7223 f ta? | A Kee 12eeT | Slates 76 Gan’): Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0300.jpg
2024-01-24-03:37:06,,Image size: 6.5MB Timestamp: 039:7565 (2024-01-24-03:37:06 UTC) GES Tne 0. 976-0 Chane | Mo GP postion | ‘Gomwerdion ie 29 fos: | ‘Convent Image: 7222 f ta? | A Kee eT | Slates 76 Gant: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0306.jpg
2024-01-24-03:37:08,,Image size: 2.3MB Timestamp: 041:7751 (2024-01-24-03:37:08 UTC) GBS Tne 0.9760 Chane | Mo GP postion | ‘Goiwersion i 27 fos: | ‘Convent Image: 72247 ta? | a Kee O27 | Shentes BO Gan’: Gane 100,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0336.jpg
2024-01-24-03:37:09,,Image size: 2.4MB Timestamp: 042:7850 (2024-01-24-03:37:09 UTC) GPS Time: ©. POS: 0. Cheie 0 ©«60| No GPS nesitin::| Conversion R= 3-7 fe | - Concent mage: 7225 7 WNT | Ui Kevin 0712807 | Shetter 228 Gain fh; Gane 1400:,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0348.jpg
2024-01-24-03:37:11,,Image size: 2.0MB Timestamp: 045:0013 (2024-01-24-03:37:11 UTC). No GPS positon | ‘Gomwersian Rat 26 fos | ‘Convent image: 7277 7 1007 | LA Keshia 0 7 12807 | Sheer 282 Gan fh: Gare 1800.,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0369.jpg
2024-01-24-03:37:12,,Image size: 1.7MB Timestamp: 046:0095 (2024-01-24-03:37:12 UTO) No GPS positon | ‘Gomwersian Ra 25 ies | ‘Convent image: 7228 F 1s7 | LA Kesh 0 7 12807 | Sheer 282 Gan fh: Gare 100.,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0381.jpg
